poem_link,arabic_poet,subsection,poems
https://ganjoor.net/attar/divana/,attar,divana/,0
https://ganjoor.net/attar/manteghotteyr/,attar,manteghotteyr/,0
https://ganjoor.net/attar/tazkerat-ol-ouliya/,attar,tazkerat-ol-ouliya/,96
https://ganjoor.net/attar/elahiname/,attar,elahiname/,25
https://ganjoor.net/attar/bolbolname/,attar,bolbolname/,38
https://ganjoor.net/attar/asrarname/,attar,asrarname/,22
https://ganjoor.net/attar/khosroname/,attar,khosroname/,71
https://ganjoor.net/attar/mokhtarname/,attar,mokhtarname/,0
https://ganjoor.net/attar/30fasl/,attar,30fasl/,28
https://ganjoor.net/attar/bayanolershad/,attar,bayanolershad/,36
https://ganjoor.net/attar/bisarname/,attar,bisarname/,7
https://ganjoor.net/attar/hylajname/,attar,hylajname/,68
https://ganjoor.net/attar/mazhar/,attar,mazhar/,7
https://ganjoor.net/attar/jz/,attar,jz/,0
https://ganjoor.net/attar/ma/,attar,ma/,85
https://ganjoor.net/attar/mosibatname/,attar,mosibatname/,41
https://ganjoor.net/attar/vaslatname/,attar,vaslatname/,72
https://ganjoor.net/attar/na/,attar,na/,21
https://ganjoor.net/attar/pandname/,attar,pandname/,79
https://ganjoor.net/attar/oshtorname/,attar,oshtorname/,30
https://ganjoor.net/attar/fn/,attar,fn/,0
