poem_link,arabic_poet,subsection,poems
https://ganjoor.net/hatef/divan-hatef/gar/sh8/,hatef,divan-hatef/gar/sh8/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh20/,hatef,divan-hatef/gar/sh20/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh23/,hatef,divan-hatef/gar/sh23/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh25/,hatef,divan-hatef/gar/sh25/,5
https://ganjoor.net/hatef/divan-hatef/gar/sh5/,hatef,divan-hatef/gar/sh5/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh1/,hatef,divan-hatef/gar/sh1/,3
https://ganjoor.net/hatef/divan-hatef/gar/sh2/,hatef,divan-hatef/gar/sh2/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh3/,hatef,divan-hatef/gar/sh3/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh4/,hatef,divan-hatef/gar/sh4/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh6/,hatef,divan-hatef/gar/sh6/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh7/,hatef,divan-hatef/gar/sh7/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh9/,hatef,divan-hatef/gar/sh9/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh10/,hatef,divan-hatef/gar/sh10/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh11/,hatef,divan-hatef/gar/sh11/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh12/,hatef,divan-hatef/gar/sh12/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh13/,hatef,divan-hatef/gar/sh13/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh14/,hatef,divan-hatef/gar/sh14/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh15/,hatef,divan-hatef/gar/sh15/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh16/,hatef,divan-hatef/gar/sh16/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh17/,hatef,divan-hatef/gar/sh17/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh18/,hatef,divan-hatef/gar/sh18/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh19/,hatef,divan-hatef/gar/sh19/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh21/,hatef,divan-hatef/gar/sh21/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh22/,hatef,divan-hatef/gar/sh22/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh24/,hatef,divan-hatef/gar/sh24/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh26/,hatef,divan-hatef/gar/sh26/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh27/,hatef,divan-hatef/gar/sh27/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh28/,hatef,divan-hatef/gar/sh28/,4
https://ganjoor.net/hatef/divan-hatef/gar/sh29/,hatef,divan-hatef/gar/sh29/,3
poem_link,arabic_poet,subsection,poems
https://ganjoor.net/hatef/divan-hatef/tarjeeband/,hatef,divan-hatef/tarjeeband/,0
https://ganjoor.net/hatef/divan-hatef/,hatef,divan-hatef/,0
https://ganjoor.net/hatef/divan-hatef/gar/,hatef,divan-hatef/gar/,34
